ID,rating,claim description,content,title,content type
508,FALSE,,"Bakit si DUTERTE at PANELO and sinisisi niyo? Bakit hindi si Panot Noynoy Aquino at GLORIA? ""The Republic Act 10592 provides for the “partial extinction of criminal liability” through time off for...",https://www.facebook.com/KamayNaBakalPH/posts/373213220290324,Image
509,FALSE,,"Dahil sa Bisa na Pinirmahan ni Panot Noynoy Aquino ang RA 10592, Abay Posibleng makalaya Si Ex Mayor Sanchez na kinasuhan ng 7 counts na Pumatay sa Dalawang Studyante at ang babaeng Studyante ay...",https://www.facebook.com/alchonrangcoquinco/posts/2513422115587372,Image
510,FALSE,,Walang Puwang ang #FreedomOfExpression at #FreedomOfthePress sa administrasyon Dutae,https://www.facebook.com/TheSpratlyIslandsPhilippines/posts/3338943779468740,Image
511,FALSE,Si Bongbong Marcos ang nag-iisang senador na hindi tumanggap ng PDAF,,,Image
512,FALSE,"Hontiveros says Ateneo student was ‘practicing taekwondo, not bullying’",,,Image
513,FALSE,"Hontiveros says Ateneo student was ‘practicing taekwondo, not bullying’",,,Image
514,FALSE,Colmenares says he’s angry at Marcos because he was electrocuted during Martial Law,,,Image
515,FALSE,Colmenares says he’s angry at Marcos because he was electrocuted during Martial Law,,,Image
516,FALSE,Colmenares says he’s angry at Marcos because he was electrocuted during Martial Law,,,Image
517,FALSE,Colmenares says he’s angry at Marcos because he was electrocuted during Martial Law,,,Image
518,FALSE,Colmenares says he’s angry at Marcos because he was electrocuted during Martial Law,,,Image
519,FALSE,Colmenares says he’s angry at Marcos because he was electrocuted during Martial Law,,,Image
520,FALSE,March 2020 CSE examinees 'automatically pass' due to COVID-19,,,Image
521,FALSE,Nanalo si Robredo noong 2016 dahil sa pandaraya,,,Image
522,FALSE,Nanalo si Robredo noong 2016 dahil sa pandaraya,,,Image
523,FALSE,Jobless rate went down to 20% during Duterte’s term,,,Image
524,FALSE,Coronavirus sticks faster on men with shaved heads,,,Image
525,FALSE,Hindi ibinalita ng midya ang pagdalo ni Bongbong Marcos sa seremonya para sa SAF 44,,,Image
526,FALSE,Proyekto ni Bongbong Marcos ang Bangui Wind Farm sa Ilocos Norte,,,Image
527,FALSE,Proyekto ni Bongbong Marcos ang Bangui Wind Farm sa Ilocos Norte,,,Image
528,FALSE,,Nanawagan si Leni Robredo na ipasa na ang batas ni Satanas para magkabali-baliktad na ang sex o gender sa Pilipinas.. Wag daw munang lagyan ng male o female ang birth certificate ayon sa Sogie Bill...,https://www.facebook.com/permalink.php?story_fbid=2322798818036033&id=100009178136146,Image
529,FALSE,Hindi pumunta si Robredo sa Bicol habang siya ay bise presidente,,,Image
530,FALSE,Philippines was ‘richest country in Asia’ during Marcos years,,,Image
531,FALSE,"Si Bongbong Marcos ang nagpanukala ng free tuition bill, hindi si Bam Aquino",,,Image
532,FALSE,"ECQ extended until June 15, 2020",,,Image
533,FALSE,"ECQ extended until June 15, 2020",,,Image
534,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Image
535,FALSE,"'Flying insects' kill people in China, India, Iran",,,Image
536,FALSE,"COVID-19 is bacteria, can be cured by aspirin",,https://www.facebook.com/alvinerrol.trayamakinano/posts/375783323902984,Image
537,FALSE,,"ITO ANG KWENTO NG ABS-CBN SA MGA HINDI PO NAKAKAALAM NG PUNOT DULO: NAGBEBENTA PO SILA NG TV PLUS NG WALANG PRANGKISA OR LISENSYA. Yung tungkol sa renewal process nila, nagkaproblema dahil lang sa...",https://www.facebook.com/irish.rodriguez.940/posts/2877604772294292,Image
538,FALSE,,#CreditPost Sana ay maintindihan na ng mga mahina ang pang intindi dahil kailanman ay hindi excuse ang KABOBOHAN. Kung tutuusin kayo ang ginagago netong ipinagtatanggol nyong channel. ITO ANG...,https://www.facebook.com/groups/302109643587395/permalink/997876657344020/,Image
539,FALSE,Roque says poor have no right to be choosy over vaccine,,,Image
540,FALSE,Roque says poor have no right to be choosy over vaccine,,,Image
541,FALSE,Photo of Metro Manila Subway project construction,,,Image
542,FALSE,Photo of Metro Manila Subway project construction,,,Image
543,FALSE,'UP professor' supports UP-DND accord termination,,,Image
544,FALSE,Photo of Metro Manila Subway project construction,,,Image
545,FALSE,Forex at P1.50 to P2 per dollar during Marcos years,PHILIPPINE HISTORY TRIVIA Repost from: Marcos FB Page Alam niyo bang noong bata pa si Ferdinand E. Marcos naakusahan na ito ng kasong murder ? Isa pa lamang siyang estudyante sa law noon. Ang...,Marcos claims (forex P2/$1),Image
546,FALSE,"Kabataan Partylist received about 160,000 votes in 2019 election",,,Image
547,FALSE,'Red-tagging' a term invented by CPP-NPA-NDF,,,Image
548,FALSE,Sotto says two doses of Sinovac results in 100% efficacy,,,Image
549,FALSE,,"Ikalat nyo to nang malaman ng lahat ng Pilipino sa mundo Ferdinand E. Marcos 10th President of the Philippines During His time as President, the Philippines is; -Richest country in Asia -First to...",Philippines was richest country in Asia during Marcos rule,Image
550,FALSE,,"Ikalat nyo to nang malaman ng lahat ng Pilipino sa mundo Ferdinand E. Marcos 10th President of the Philippines During His time as President, the Philippines is; -Richest country in Asia -First to...",Philippines was richest country in Asia during Marcos rule,Image
551,FALSE,,"Ikalat nyo to nang malaman ng lahat ng Pilipino sa mundo Ferdinand E. Marcos 10th President of the Philippines During His time as President, the Philippines is; -Richest country in Asia -First to...",Philippines was richest country in Asia during Marcos rule,Image
552,FALSE,,"Ikalat nyo to nang malaman ng lahat ng Pilipino sa mundo Ferdinand E. Marcos 10th President of the Philippines During His time as President, the Philippines is; -Richest country in Asia -First to...",Philippines was richest country in Asia during Marcos rule,Image
553,FALSE,Gustong bawasan ni Leni Robredo ang suweldo ng mga pulis at sundalong umaabuso nito,,Leni police salary quote,Image
554,FALSE,Gustong bawasan ni Leni Robredo ang suweldo ng mga pulis at sundalong umaabuso nito,,,Image
555,FALSE,"Paunawa tungkol sa pagbili ng palay ng Palayan, Nueva Ecija mayor",,,Image
556,FALSE,Gustong bawasan ni Leni Robredo ang suweldo ng mga pulis at sundalong umaabuso nito,,,Image
557,FALSE,"McCoy de Leon quotes on Duterte, ABS-CBN",,,Image
558,FALSE,"McCoy de Leon quotes on Duterte, ABS-CBN",,,Image
559,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
560,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
561,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
562,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
563,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
564,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
565,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
566,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
567,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
568,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
569,FALSE,"Angat Buhay program provided P2.23 daily for 155,000 families",,,Image
570,FALSE,You can tell if someone is lying through hand gestures alone,,,Image
571,FALSE,"Mar Roxas quote on mass testing, frontliners",Dumali na naman si “Mar Epal King” dalhin daw sa isang “Isla” yung mga Covid-19 positive Ano daw ba ang ginagawa ng Gobyerno? Dapat itong si Mar Epal ang itapon sa China.,"Mar Roxaz: Mass testing, may sakit, dalhin sa isla, ano pa silbi ng frontliners?",Image
572,FALSE,Photo of world's biggest anaconda in the Philippines,Worlds biggest anaconda snake found in the philippines in solar olutanga island zamboanga sibugay province it killed 752 human beings and thausands of animals it is 135 feet long and 3 inches and...,https://www.facebook.com/kura.mafya.752/posts/273647813622730,Image
573,FALSE,"Chel Diokno wants taxi, jeepney drivers to wear helmets",,,Image
574,FALSE,Guinness World Records names Marcos best president of all time,,,Image
575,FALSE,Ang Bataan Nuclear Power Plant ang unang nuclear power plant sa Asya,,,Image
576,FALSE,Bicycle registration required starting February 2021,"Susunod nyan, naglalakad ipaparehistro na.😂😂😂 nako mahal kung pilipinas anyare na😌",https://www.facebook.com/permalink.php?story_fbid=230460358417838&id=136411557822719,Image
577,FALSE,Bicycle registration required starting February 2021,,,Image
578,FALSE,,Ray Mandalones updated his cover photo.,"Jovito Salonga ""letter"" to Cory about Marcos wealth.",Image
579,FALSE,Actor McCoy De Leon says Duterte urgently needs mental help,,,Image
580,FALSE,Bill Gates is developing COVID-19 vaccines with microchips,,,Image
581,FALSE,Actor McCoy De Leon says Duterte urgently needs mental help,,,Image
582,FALSE,Robredo quote on 'social distancing' during basketball,,,Image
583,FALSE,Bill Gates is developing COVID-19 vaccines with microchips,,,Image
584,FALSE,Robredo’s quote on Filipinos working from home,,,Image
585,FALSE,Robredo’s quote on Filipinos working from home,,,Image
586,FALSE,Robredo’s quote on Filipinos working from home,,,Image
587,FALSE,Robredo’s quote on Filipinos working from home,,,Image
588,FALSE,66% ang unemployment rate ng Filipinas noong 1986,,https://www.facebook.com/karen.yaptinchay.gella/posts/10159738312205477,Image
589,FALSE,,"Mag antay kayo, malay niyo tinatrabaho na ni Risa Hontiveros at Kiko 😂",https://www.facebook.com/JokenoPh/posts/145912577095122,Image
590,FALSE,Galvez says Sinovac vaccine good enough for poor Filipinos,,,Image
591,FALSE,Galvez says Sinovac vaccine good enough for poor Filipinos,,,Image
592,FALSE,Christine Dacera recognized as new Filipino saint,,,Image
593,FALSE,Si Robredo ang may pakana sa petisyong kanselahin ang COC ni Marcos,,MALAYO PA ANG HALALAN PERO THIS EARLY DESPERADO NA ANG KALABAN... Ang paghain ng petisyon ng mga kampon ni Fake Nanay upang kanselahin ang COC ni BBM ay isang black propaganda lamang.,Image
594,FALSE,Si Robredo ang may pakana sa petisyong kanselahin ang COC ni Marcos,,,Image
595,FALSE,Si Robredo ang may pakana sa petisyong kanselahin ang COC ni Marcos,,,Image
596,FALSE,Photo proves Alcadev school teaches Lumad kids how to become NPA,,,Image
597,FALSE,Lumad is a word made up by the CPP-NPA-NDF,,,Image
598,FALSE,Biden quote threatening to cancel US visas issued in PH,,,Image
599,FALSE,Biden quote threatening to cancel US visas issued in PH,,,Image
600,FALSE,Biden quote threatening to cancel US visas issued in PH,,,Image
601,FALSE,Biden quote threatening to cancel US visas issued in PH,,,Image
602,FALSE,Biden quote threatening to cancel US visas issued in PH,,,Image
603,FALSE,Naglabas ng P500 Marcos banknote ang Bangko Sentral ng Pilipinas,,,Image
604,FALSE,Naglabas ng P500 Marcos banknote ang Bangko Sentral ng Pilipinas,,,Image
605,FALSE,Marcos family owns ‘$2 quadrillion’ worth of gold,,,Video
606,FALSE,"Na-disqualify na ng Comelec ang Kabataan, Bayan Muna sa party list",,,Video
607,FALSE,Nanuhol ng bata si Leni Robredo sa Tarlac,,,Video
608,FALSE,Nostradamus predicts Bongbong Marcos will lead Philippines in 2022,,,Video
609,FALSE,Vaccinated people can be detected by Bluetooth,,,Video
610,FALSE,"Ferdinand Marcos, Jose Rizal established World Bank",,,Video
611,FALSE,"Ferdinand Marcos, Jose Rizal established World Bank",,,Video
612,FALSE,There is a worldwide media blackout on anti-lockdown protests,,,Video
613,FALSE,Photo shows Robredo disgusted by supporter attempting to hug her,,,Video
614,FALSE,Putin expresses support for Bongbong Marcos’ candidacy,,,Video
615,FALSE,Marcos was a guerrilla leader during World War II,,,Video
616,FALSE,COVID-19 vaccines are 'barcodes for life',,,Video
617,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Video
618,FALSE,Filipino 'royal family' ruled over pre-colonial 'Maharlika kingdom',,,Video
619,FALSE,Video of Filipino personalities supporting anti-terror law,,,Video
620,FALSE,Marcos family owns a 'million tons of gold',,,Video
621,FALSE,US senator defends Duterte from opposition's 'fake news',,,Video
622,FALSE,Photo of Sarah Elago wearing NPA uniform,,,Video
623,FALSE,Photo of Sarah Elago wearing NPA uniform,,,Video
624,FALSE,Media refuses to cover Bongbong Marcos’ campaign,,,Video
625,FALSE,Pfizer/BioNTech cut EU vaccine deliveries because of side effects,,,Video
626,FALSE,COVID-19 booster shots are not authorized in the Philippines,,,Video
627,FALSE,Southern Leyte governor says Robredo visited the province for photo ops,,,Video
628,FALSE,Otso Diretso to run again in 2022 PH elections,,,Video
629,FALSE,Guevarra confirms Trillanes will be jailed again,,,Video
630,FALSE,"Duque, Domingo face jail time for delayed Ivermectin approval",,,Video
631,FALSE,Nixon declared in 1973 that the US dollar will no longer be backed by gold,,,Video
632,FALSE,GMA News staff accepts money from Angel Locsin,,,Video
633,FALSE,Extrajudicial killings in PH are made-up by the opposition,,,Video
634,FALSE,AP YouTube video shows Marcos ordering banks to release his gold wealth,,,Video
635,FALSE,Hindi tumanggap si Ferdinand Marcos ng suweldo bilang pangulo,,,Video
636,FALSE,Media is not reporting on misleading video about deaths in India,,,Video
637,FALSE,Robredo says Duterte will declare martial law or ‘total lockdown’,,,Video
638,FALSE,‘NSO’ figures comparing spending budget of 3 ex-presidents,,,Video
639,FALSE,Carpio’s ‘final bet’ for 2022 is Trillanes,NALOKO NA! TRILLANES PINAL NA PAMBATO NI CARPIO SA 2022,NALOKO NA! TRILLANES PINAL NA PAMBATO NI CARPIO SA 2022,Video
640,FALSE,"More than 50,000 bridges built during the Marcos administration",,,Video
641,FALSE,Nahalal na bise presidente si Marcos Jr.,,,Video
642,FALSE,Kita sa video na sinusuportahan ni Venus Raj si Marcos Jr. sa 2022,,,Video
643,FALSE,Nahalal na bise presidente si Marcos Jr.,,,Video
644,FALSE,Nahalal na bise presidente si Marcos Jr.,,,Video
645,FALSE,Nahalal na bise presidente si Marcos Jr.,,,Video
646,FALSE,Ferdinand Marcos appeared in a 1983 world leaders’ meeting in Canada,,,Video
647,FALSE,Ferdinand Marcos appeared in a 1983 world leaders’ meeting in Canada,,,Video
648,FALSE,Ferdinand Marcos appeared in a 1983 world leaders’ meeting in Canada,,,Video
649,FALSE,Tinipid sa materyales ang mga bahay na ginawa sa Angat Buhay Village ni Bise Presidente Leni Robredo.,,HINDI TOTOO: Tinipid sa materyales ang programang pabahay ni Robredo,Video
650,FALSE,,Let's us share this video para inform tayong lahat Lie la De Lima kinantahan Ang isang drug lord na si colangco sa loob ng birthday party in prison bilibid VIP Kung lumigaya Ka at kaya pala kakampi...,https://www.facebook.com/PilipinasKongMahalTungoSaPagbabago/videos/1699252203673840/,Video
651,FALSE,,"Ganito magpa party ang isang DOJ Secretary sa Loob Ng Bilibid 

Gusto nyo pa bang bumalik sila sa kapangyarihan?",Video of De Lima 'partying in Bilibid',Video
652,FALSE,‘Actual video’ of U.S. strike that killed Qasem Soleimani,,,Video
653,FALSE,‘Actual video’ of U.S. strike that killed Qasem Soleimani,,,Video
654,FALSE,Duterte removes Gwen Garcia and Isko Moreno from office,,,Video
655,FALSE,COVID-19 vaccine more dangerous than the disease,,,Video
656,FALSE,COVID-19 vaccine more dangerous than the disease,,,Video
657,FALSE,Media did not report on collapsed footbridge in Zamboanga City,,,Video
658,FALSE,"COVID-19 vaccination an experimentation, should follow Nuremberg Code","Breaking news!!! Alamin ang Sampung Codes ng NUREMBERG. Ano ang NUREMBERG CODE? Ito'y isang hanay ng mga prinsipyo ng etika sa pagsasaliksik para sa pag-eksperimento ng tao na nilikha ng USA v Brandt court bilang isang resulta ng NUREMBERG trials pagtatapos ng second World War...Since part kyo ng human experiment dapat malaman nyo ang inyong mga karapatan... * CDC eases travel recommendations on some 110 countries... Pls share po para ma inform din ang iba, maraming salamat po. 😘❤️🙏",Lynn Agno - Breaking news!!! Alamin ang Sampung Codes ng...,Video
659,FALSE,'No massacres' during Martial Law,,,Video
660,FALSE,"Mainstream media did not report data on Build, Build, Build projects",,,Video
661,FALSE,Media did not report on increase of employed Filipinos in May 2021,,,Video
662,FALSE,"PDAF is part of Constitution, ‘legacy’ of Cory Aquino",,,Video
663,FALSE,PH under Marcos was ahead of China in missile development,,,Video
664,FALSE,PH under Marcos was ahead of China in missile development,,,Video
665,FALSE,"UK, US underreport COVID-19 vaccine adverse effects",,,Video
666,FALSE,YouTube deleted ABS-CBN’s channels for abusing terms of service on ads,,,Video
667,FALSE,Construction of Sarangani Sports Training Center costs P3.5 billion,"PACQUIAO’s SCANDALOUS P3.5B SPORTS CENTER Sarangani Province, being one of the ten poorest provinces in the country, did not deter its leaders from prioritizing a project which will not help in uplifting it- THE P3.5B SARANGANI SPORTS CENTER. Instead, it will only uplift the egos of those who rule. And enrich favored contractors. BECAUSE INSTEAD of investing in the development of agriculture and building factories, building the P3.5B Sports Center to house our national athletes was a very bad idea from the very start, that aside from being located in the southernmost end of the country and therefore not strategically located (for the various national athletes to go to train), it is a duplication of the newly-built sports facilities in Clark which the national government built at a cost of P3B-P6B in hosting the last SEA GAMES. CONSTRUCTION OF THE VARIOUS facilities in the said Sports Center started in 2018 but up to now remain uncompleted and abandoned. Look at the tall cogon grasses- they are about to cover the abandoned buildings‼️ PACQUIAO authored Republic Act 11224 otherwise known as an Act establishing the Sarangani Sports Training Center in the Municipality of Alabel, Sarangani Province. This is clearly a useless Bill and a waste of public funds‼️ AND THE GUY WANTS TO BE PRESIDENT⁉️ 🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊🥊",PACQUIAO’s SCANDALOUS P3.5B SPORTS... - Butch Ruiz Baliao | Facebook,Video
668,FALSE,COVID-19 vaccine can modify DNA,,,Video
669,FALSE,"No more property ownership, privacy by 2030 – WEF","Breaking News! Sabi ng isang mataas na health official sa Israel, 95% ng mga may Grabeng Kaso ay bakunado at 85-90% ng mga bagong naospital na may COVID ay bakunado rin!!! * Afghanistan bumaksak na sa kamay ng mga Talibans !!! * Swiss Police inayawan ang Great Reset! ""Pinagsisilbihan namin ang mga tao at hindi ang mga Elites"" !!! * Naitala na 5K na bagong kaso ng Covid19 sa isang araw lamang sa Israel, kahit na halos lahat ng tao doon bakunado na... * Nakikita na natin ang pagbulusok pababa ng gobierno ni B/I/D/3/N at iniwan na sya ng kanyang kaalyado... *Mga protest rally laban sa VACCIN3S PASSPORTS, panoorin!!! https://m.facebook.com/story.php?story_fbid=1820605674788290&id=1199433907",Lynn Agno - Breaking News! Sabi ng isang mataas na health...,Video
670,FALSE,Tilapia was introduced to Philippines during Marcos presidency,,,Video
671,FALSE,Media did not report on Clark International Airport's Prix Versailles nomination,,,Video
672,FALSE,COA chairman uses audit reports to defame Duterte administration,,,Video
673,FALSE,CDC withdraws emergency use request for COVID-19 PCR test due to inaccuracy,,,Video
674,FALSE,It’s impossible for Marcos’ wealth to be sourced from public funds,,,Video
675,FALSE,Robredo is a member of CPP-NPA-NDF,,,Video
676,FALSE,US nurse dies after receiving COVID-19 vaccine,,,Video
677,FALSE,Temperature in Dubai reaches '63 degrees Celsius',En Dubái la semana pasada llego la temperatura a 63 grados centígrados. Es la temperatura mas alta registrada en la tierra. Los arboles se comienzan a quemar solos. Se pronostica q a mediados de...,Temperature in Dubai was at 63 Celsius,Video
678,FALSE,"Ferdinand Marcos was youngest elected as mayor, congressman, governor, and senator",,,Video
679,FALSE,"Drinking hot water with salt kills, flushes out coronavirus",,,Video
680,FALSE,"Drinking hot water with salt kills, flushes out coronavirus",Boyet Castelo was live.,https://www.facebook.com/boyet.castelo/videos/2812058178901312/,Video
681,FALSE,PH economy crashed in 1983 due to US sanctions,,,Video
682,FALSE,"US records 12,366 deaths due to COVID-19 vaccines",,,Video
683,FALSE,Video of Pope Francis speaking about ‘end time prophecy’,,,Video
684,FALSE,,"Dante Maravillas Live Aug. 22, 2019 TOPICS 1. SI PANOT PALA ANG PUMIRMA SA BATAS NA NAGING BATAYAN PARA SA EARLY RELEASE NI CONVICTED RAPIST AND MURDERER, FORMER CALAUAN, LAGUNA MAYAOR ANTONIO SANCHEZ! 2. NO TO SUGO NG DEMONYO BILL OR SOGIE BILL NI RISA VIRUS! If you like my videos follow me on FACEBOOK Dante Maravillas https://www.facebook.com/dante.maravillas Dante Maravillas Blog https://www.facebook.com/Dante-Maravillas-BLOG-250117781702347/ Nostra Dante https://www.facebook.com/maravillas.dante.1 Bella Bermundo Maravillas https://www.facebook.com/bella.maravillas Please Subscribe to Youtube Channel Bjillon Maravillas https://www.youtube.com/channel/UCjpUShOklrSni14BVQ6Ur5w For Firmax Orders Message Us on Facebook, or Contact us on VIBER or WHATSAPP Dante Maravillas 0908 655 3757 0949 198 9259",https://www.facebook.com/dante.maravillas/videos/2693576424007074/,Video
685,FALSE,Nanalo si Robredo noong 2016 dahil sa pandaraya,,,Video
686,FALSE,Proyekto ni Bongbong Marcos ang Bangui Wind Farm sa Ilocos Norte,,,Video
687,FALSE,Proyekto ni Bongbong Marcos ang Bangui Wind Farm sa Ilocos Norte,,,Video
688,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
689,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
690,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
691,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
692,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
693,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
694,FALSE,"Robredo diskalipikado na sa halalan sa 2022, ayon sa Comelec",,,Video
695,FALSE,"Bill Gates created COVID-19, Moderna",,,Video
696,FALSE,News report blames Martial Law for Lean Alejandro's death,,,Video
697,FALSE,Video shows former president Noynoy Aquino falling into creek,,,Video
698,FALSE,COVID-19 vaccines cause the immune system to destroy the body,,,Video
699,FALSE,Media blackout on Aquino admin’s alleged gold shipment,,,Video
700,FALSE,Katatapos lang ng Ikalawang Digmaang Pandaigdig nang maging pangulo si Marcos,,,Video
701,FALSE,Filipinos are COVID-19 vaccine guinea pigs,,,Video
702,FALSE,Si Bongbong Marcos ang nagpanukala ng national ID system bill,,,Video
703,FALSE,Video of 'young people died after drinking fake beer in China',,,Video
704,FALSE,Inireklamo si Moreno sa Comelec matapos bumili ng boto noong Nobyembre 2021,,,Video
705,FALSE,Supreme Court rejects PIRMA Kapamilya people’s initiative,"#AbsCbn #Kapamilya #SignatureCampaign
Like, Comment and Share our Official FB Page:
https://web.facebook.com/entertainment.showbizfanaticz.ph/

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a permitted by copyright statute that might otherwise be infringing.",EXCLUSIVE: PIRMA KAPAMILYA ng ABSCBN Hindi PUMASA sa KORTE SUPREMA at TAONG BAYAN| CANCELLED AGAD?!!,Article
706,FALSE,"Gabby Lopez sold all his shares in ABS-CBN Corporation, Lopez Holdings",,,Article
707,FALSE,"Photo of Jeff Canoy, ABS-CBN supporters in ‘illegal mass gathering’","@TheManilaTimes See this mayor..They happprned right in ur backyard..Illegal mass gathering , no physical distancing and no face mask..Blatant disregard of the quarantine protocols..So entitled people.. https://t.co/HFUlAsntDi","@TheManilaTimes See this mayor..They happprned right in ur backyard..Illegal mass gathering , no physical distancing and no face mask..Blatant disregard of the quarantine protocols..So entitled people.. https://t.co/HFUlAsntDi",Article
708,FALSE,"Gabby Lopez sold all his shares in ABS-CBN Corporation, Lopez Holdings",,,Article
709,FALSE,Comelec spokesman James Jimenez supports ‘Run Sara Run’ campaign,"#COMELEC #IskoMoreno #SaraDuterte



Like, Comment and Share our Official FB Page:
https://web.facebook.com/entertainment.showbizfanaticz.ph/


YORME ISKO, IPINAHIYA ni JIMENEZ at ng COMELEC, Matapos SIRAAN ang 'RUN SARA RUN' CAMPAIGN!

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for 'fair use' for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a permitted by copyright statute that might otherwise be infringing.",JUST IN: Mr JIMENEZ KINUMPIRMANG Walang NILABAG na BATAS ang SARA RUN SARA Campaign| ISKO NATAHIMIK!,Article
710,FALSE,"Gov’t to give P10,000 pandemic aid to every Filipino","https://www.youtube.com/watch?v=sxLDrsVaQ2c








Pɑlɑce: IATF's OK of Sinoʋɑc use on ҺeɑltҺ woɾkeɾs ɑssuɾɑnce of sɑfety, Ƅenefits



Mɑlɑcɑnɑng sɑid Fɾidɑy tҺe Inteɾ-Agency Tɑsk Foɾce (IATF) on Emeɾging Infectious Diseɑses’ ɑppɾoʋɑl of tҺe ɾecommendɑtion of immunizɑtion expeɾts to use Sinoʋɑc’s C","ʙʀᴇᴀᴋɪɴɢ ɴᴇᴡꜱ ᴛᴏᴅᴀʏ ꜰᴇʙʀᴜᴀʀʏ 27, 2021 ᴘʀᴇꜱ ᴅᴜᴛᴇʀᴛᴇ ɢᴏᴏᴅ ɴᴇᴡꜱ 10ᴋ ᴀʏᴜᴅᴀ ꜱᴀ ʙᴀᴡᴀᴛ ᴘɪʟɪᴘɪɴᴏ",Article
711,FALSE,OVP sent spoiled food to frontliners at Diliman Doctors Hospital,,,Article
712,FALSE,OVP sent spoiled food to frontliners at Diliman Doctors Hospital,,,Article
713,FALSE,OVP sent spoiled food to frontliners at Diliman Doctors Hospital,,,Article
714,FALSE,"National ID owners get P10,000 aid after online registration",,,Article
715,FALSE,Pinaringgan ng isang pari si Robredo sa kanyang sermon,,,Article
716,FALSE,Pinaringgan ng isang pari si Robredo sa kanyang sermon,,,Article
717,FALSE,Pinaringgan ng isang pari si Robredo sa kanyang sermon,,LENI KINASTIGO NG PARI SA VOTE BUYING! BISHOP VILLEGAS SINUPALPAL DIN! NAKAKAGULAT!,Article
718,FALSE,Pinaringgan ng isang pari si Robredo sa kanyang sermon,,,Article
719,FALSE,Marriage between humans and animals now legal in Norway,,,Article
720,FALSE,,VIDE0 F00TAGE:Isang Doktor na Frontliner Ginahasa BAG0 Pinatay ng Isang Hindi Pa Nakikilalang Suspek,VIDE0 F00TAGE:Isang Doktor na Frontliner Ginahasa BAG0 Pinatay ng Isang Hindi Pa Nakikilalang Suspek,Article
721,FALSE,,"PHILIPPINES CLOTH OF SECRECY WORLD BANK GOLD ACCOUNTS.
The 10 billion dollar question: what happened to the gold of our ancestors that has been transferred under the custody of Marcos Family?

The time has come and the truth will set us free from gangster's fraternity of nations that still keep tracking our ancestors gold.

Gold for gold. Find the gold. Share the gold. Philippine Islands are “Riches Country in the World!” There are 950,000 metric tons of gold ( declared missing in the International Court of Justice in Hague) picked up by Yamashita from its European Ally, Hitler and another 250,000 metric tons of the Japanese loot around Southeast Asia are both now in the Philippines. Very few Filipinos knows this( Wall Street Journal, November 15,1985 issue wrote: “ Two Thirds of all the gold in the world is in Philippines and One third is divided among the rest of the countries of the world”) ; During A TALK SHOW in a U.S. TV , the week following the bombing of the New York Twin Towers, President George Bush was asked this question: Which is the richest country in the world today? With a smile he said; “The Philippines.” In a US TV interview as well with President Barrack Obama, in his “700 Billion USD stimulus funds” for US economy, he was asked a question where will he get the billion dollar substantial funds needed and quoted saying. “We have friends outside US who will support us”.
The branded Yamashita Treasure was considered “booty”. There were varied country claimants who are victims of the said WWII loots and these countries filed protest and claims after the war in the International Court of Justice. Though, there was a passage of law for thirty years starting 1946, that without a valid claim against it this “booty” it would belong to its new possessor. That would have been in 1976. However, the International Criminal Court (ICC) extended the deadline of the claims to 10 years up to 1986. With the conspiracy of the International Banking Cartel, neither the ICJ denied the existence of these gold and claims. Sadly, Successive governments of the Philippines denied its existence and failed to acknowledged the gold. For almost 24 years, Information has been conspired to keep from being known to Filipino people.",WORLD BANK TOP 10 COUNTRIES WITH HIGHEST GOLD RESERVES! PHILIPPINES LANDED NUMBER ONE?,Article
722,FALSE,,"Vice President Leni Robredo is cool to the proposal of Agriculture Secretary Manny Piñol to dredge Bicol River and other major rivers in the country, saying it is prone to corruption.",Robredo wary of Piñol's proposal for nationwide river dredging: Makukurakot lang pera dyan!,Article
723,FALSE,Sotto's anti-corruption award is an LP ploy,,,Article
